DATE_TIME,AC_POWER,IRRADIATION,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,hour,day,month,is_daytime
2020-05-15 06:00:00,3.585714286,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,5.1625,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,5.585714286,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,5.628571429,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,5.25,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,0.0,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,4.228571429,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,5.671428571,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,2.366666667,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,5.425,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,3.571428571,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,4.028571429,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,4.85,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,3.6,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,3.75,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,5.075,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,3.7375,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,5.275,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,5.275,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,5.5,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:00:00,3.3625,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:15:00,26.8625,0.0222816074666666,24.01163526666667,22.35345866666667,6,15,5,1
2020-05-15 06:15:00,30.01428571,0.0222816074666666,24.01163526666667,22.35345866666667,6,15,5,1
